name,online_order,book_table,rate,votes,location,rest_type,cuisines,approx_cost(for two people),listed_in(type),listed_in(city),soup
Cupcake Bliss,Yes,No,3.5,9,BTM,Delivery,Bakery,250,Delivery,Bannerghatta Road,bakery delivery bannerghattaroad
Munch Box,No,No,3.700448817952718,0,New BEL Road,Quick Bites,"North Indian, Fast Food, South Indian",400,Delivery,New BEL Road,north indian fast food south indian quick bites newbelroad
Desi Chopstick,Yes,No,3.8,37,HSR,Quick Bites,North Indian,400,Delivery,BTM,north indian quick bites btm
NH8,Yes,Yes,4.1,471,Whitefield,Casual Dining,Rajasthani,800,Delivery,Brookefield,rajasthani casual dining brookefield
Halli Kitchen,Yes,No,2.5,63,Electronic City,Quick Bites,South Indian,300,Delivery,Electronic City,south indian quick bites electroniccity
SLV Upahara,No,No,3.5,4,JP Nagar,Quick Bites,"South Indian, North Indian",200,Dine-out,JP Nagar,south indian north indian quick bites jpnagar
Hotel Trupthi,No,No,3.700448817952718,0,Basavanagudi,Quick Bites,"South Indian, Chinese, North Indian",200,Dine-out,Basavanagudi,south indian chinese north indian quick bites basavanagudi
Parimala Sweets,No,No,3.5,14,Banashankari,Sweet Shop,"Mithai, Street Food",200,Delivery,Banashankari,mithai street food sweet shop banashankari
Kudla - Hotel Ramanashree,Yes,Yes,4.1,353,Richmond Road,Casual Dining,"South Indian, Andhra, Chinese","1,200",Delivery,Basavanagudi,south indian andhra chinese casual dining basavanagudi
Pop'z Kitchen,No,No,3.7,23,Lavelle Road,Bakery,Bakery,250,Delivery,Brigade Road,bakery bakery brigaderoad
Woodfire Biryani,Yes,No,3.4,47,Whitefield,Quick Bites,"North Indian, South Indian, Biryani",250,Delivery,Whitefield,north indian south indian biryani quick bites whitefield
Two States,No,No,3.4,5,BTM,Quick Bites,"North Indian, South Indian, Chinese, Street Food",250,Delivery,BTM,north indian south indian chinese street food quick bites btm
Tyohaar Restaurant,No,No,3.700448817952718,0,Bellandur,Quick Bites,"Hyderabadi, Biryani",400,Delivery,Bellandur,hyderabadi biryani quick bites bellandur
New Shanthi Sagar,No,No,2.7,51,Basavanagudi,Quick Bites,"South Indian, North Indian, Chinese, Street Food",600,Dine-out,Basavanagudi,south indian north indian chinese street food quick bites basavanagudi
Tiffinwala,Yes,No,3.700448817952718,0,Indiranagar,"Takeaway, Delivery","North Indian, Chinese",500,Delivery,Indiranagar,north indian chinese takeaway delivery indiranagar
